2023-12-11 22:32:10 - PHP Warning:  fopen(/Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/storage/session/sess_d2bcc20d3a4151761460125616): Failed to open stream: Permission denied in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/library/session/file.php on line 29
2023-12-11 22:32:15 - PHP Warning:  fopen(/Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/storage/session/sess_d2bcc20d3a4151761460125616): Failed to open stream: Permission denied in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/library/session/file.php on line 29
2023-12-11 22:32:15 - PHP Warning:  fopen(/Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/storage/session/sess_d2bcc20d3a4151761460125616): Failed to open stream: Permission denied in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/library/session/file.php on line 29
2023-12-11 22:34:47 - PHP Warning:  fopen(/Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/storage/session/sess_d2bcc20d3a4151761460125616): Failed to open stream: Permission denied in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/library/session/file.php on line 29
2023-12-11 22:35:10 - PHP Warning:  fopen(/Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/storage/session/sess_d2bcc20d3a4151761460125616): Failed to open stream: Permission denied in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/library/session/file.php on line 29
2023-12-11 22:35:14 - PHP Warning:  fopen(/Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/storage/session/sess_d2bcc20d3a4151761460125616): Failed to open stream: Permission denied in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/library/session/file.php on line 29
2023-12-11 22:35:14 - PHP Warning:  fopen(/Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/storage/session/sess_d2bcc20d3a4151761460125616): Failed to open stream: Permission denied in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/library/session/file.php on line 29
2023-12-11 22:35:37 - PHP Warning:  fopen(/Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/storage/session/sess_d2bcc20d3a4151761460125616): Failed to open stream: Permission denied in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/library/session/file.php on line 29
2023-12-11 22:35:38 - PHP Warning:  fopen(/Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/storage/session/sess_d2bcc20d3a4151761460125616): Failed to open stream: Permission denied in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/library/session/file.php on line 29
2023-12-16 10:49:30 - PHP Unknown:  preg_replace(): Passing null to parameter #3 ($subject) of type array|string is deprecated in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/system/engine/action.php on line 65
2023-12-16 10:50:44 - PHP Warning:  Undefined variable $data in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_method.php on line 5
2023-12-16 10:50:47 - PHP Warning:  Undefined variable $data in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_method.php on line 5
2023-12-16 10:51:29 - PHP Warning:  Undefined variable $data in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_method.php on line 5
2023-12-16 10:51:32 - PHP Warning:  Undefined variable $data in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_method.php on line 5
2023-12-17 9:44:39 - PHP Warning:  Trying to access array offset on value of type bool in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/extension/total/voucher.php on line 54
2023-12-17 10:51:19 - PHP Warning:  Undefined array key "file_1" in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 10:51:19 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 10:51:19 - PHP Unknown:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 10:51:45 - PHP Warning:  Undefined array key "file_1" in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 10:51:45 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 10:51:45 - PHP Unknown:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 11:01:23 - PHP Warning:  Undefined array key "file_1" in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 11:01:23 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 11:01:23 - PHP Unknown:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 11:18:34 - PHP Warning:  Undefined array key "file_1" in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 11:18:34 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 11:18:34 - PHP Unknown:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 56
2023-12-17 13:57:17 - PHP Warning:  Undefined array key "fileToUpload" in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 13:57:17 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 13:57:17 - PHP Unknown:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 13:59:22 - PHP Warning:  Undefined array key "fileToUpload" in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 13:59:22 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 13:59:22 - PHP Unknown:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 14:08:42 - PHP Warning:  Undefined array key "fileToUpload" in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 14:08:42 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 14:08:42 - PHP Unknown:  basename(): Passing null to parameter #1 ($path) of type string is deprecated in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/controller/checkout/payment_address.php on line 64
2023-12-17 14:08:42 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:42 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:42 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:42 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:43 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:43 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:43 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:43 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:43 - PHP Warning:  Undefined global variable $_SESSION in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
2023-12-17 14:08:43 - PHP Warning:  Trying to access array offset on value of type null in /Applications/XAMPP/xamppfiles/htdocs/pharmacy/catalog/model/checkout/order.php on line 4
